0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:07 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:07 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:09 +0300] "GET /web_api/meetings/getMeetingsByUserId/1 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:09 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:24:11 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:56 +0300] "GET /web_api/Users/Login/1/1/1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:56 +0300] "GET /web_api/Users/getUser/1/1/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:56 +0300] "GET /web_api/Users/isManager/1/1/1 HTTP/1.1" 200 27
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:58 +0300] "GET /web_api/meetings/getMeetingsByUserId/1 HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:58 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/destinations/getNameById/1 HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/Messages/getMessages HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/Users/getUserById/315163659 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [09/Sep/2019:12:25:59 +0300] "GET /web_api/Users/getUserById/1 HTTP/1.1" 200 164
